변수,계수,오즈비
당기손상여부,0.4904042598877276,1.632976233326671
무형_매출,0.2783154174048038,1.3209027672317624
영업이익률,0.2562769880649399,1.2921105775859494
증가괴리_1y_결측,-0.2459256968720045,0.7819803263511705
영업이익률_결측,-0.22896309577186538,0.7953578850323308
자산로그,-0.19827462148142425,0.8201445928855143
무형_영업CF_결측,0.19770582129470468,1.2186038537828325
부채비율,-0.1808875943856252,0.8345291591866919
무형_영업CF,0.1700772727746124,1.1853964466538558
발생액괴리,-0.04917515472817586,0.9520143652767732
발생액괴리_결측,0.040977821560511295,1.0418289991478333
증가괴리_1y,-0.020911585353228724,0.9793055456957872
무형_매출_결측,0.0,1.0
