모델,Accuracy,Recall,Precision,F1,AP,ROC-AUC
[연도분할] 전부양성,0.5925925925925926,1.0,0.5925925925925926,0.7441860465116279,0.5925925925925926,0.5
[연도분할] 당기손상만,0.5462962962962963,0.4375,0.6829268292682927,0.5333333333333333,0.6321138211382114,0.5710227272727273
[연도분할] 로지스틱,0.6111111111111112,0.671875,0.671875,0.671875,0.6764668647782109,0.6079545454545454
[연도분할] 랜덤포레스트,0.5185185185185185,0.609375,0.5909090909090909,0.6,0.612366239147177,0.4928977272727273
[연도분할] XGBoost,0.5740740740740741,0.65625,0.6363636363636364,0.6461538461538462,0.6059495131207223,0.5202414772727273
[기업분할] 전부양성,0.5092592592592593,1.0,0.5092592592592593,0.6748466257668712,0.5092592592592593,0.5
[기업분할] 당기손상만,0.6759259259259259,0.4909090909090909,0.7941176470588235,0.6067415730337079,0.6490988314517726,0.6794168096054889
[기업분할] 로지스틱,0.6203703703703703,0.5272727272727272,0.6590909090909091,0.5858585858585859,0.6532669035515781,0.5965694682675816
[기업분할] 랜덤포레스트,0.5277777777777778,0.6727272727272727,0.5285714285714286,0.592,0.5165204318443742,0.49433962264150944
[기업분할] XGBoost,0.5185185185185185,0.6363636363636364,0.5223880597014925,0.5737704918032787,0.5088253569069996,0.5042881646655232
[t+1·연도분할] 전부양성,0.4444444444444444,1.0,0.4444444444444444,0.6153846153846154,0.4444444444444444,0.5
[t+1·연도분할] 당기손상만,0.6018518518518519,0.4791666666666667,0.5609756097560976,0.5168539325842697,0.5002822944896116,0.5895833333333333
[t+1·연도분할] 로지스틱,0.5740740740740741,0.625,0.5172413793103449,0.5660377358490566,0.5317062294184411,0.5854166666666667
[t+1·연도분할] 랜덤포레스트,0.5555555555555556,0.5625,0.5,0.5294117647058824,0.5211415957576834,0.5604166666666666
[t+1·연도분할] XGBoost,0.5,0.4791666666666667,0.4423076923076923,0.46,0.5232992805981505,0.5427083333333332
