corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태,업종,전기무형,전기매출,전기연도,3전무형,3전매출,3전연도,전환누적,전환누적_3전,무형_매출,무형_자산,무형_영업CF,유효상각률,영업이익률,발생액괴리,부채비율,자산로그,당기손상여부,증가괴리_1y,증가괴리_3y,무형_매출_상대,무형_자산_상대,유효상각률_상대,영업이익률_상대,연도_1,손상_1,무형_1,y_t1,연도_2,손상_2,무형_2,y_t2,y_2y
00130772,(주)SBS,2015,CFS,934369945679.0,366142256239.0,568227689440.0,8351232703.0,,2335886175.0,792884228900.0,42152487470.0,34884042815.0,30780850403.0,성공,확정,False,244686000.0,1045348000.0,,False,0.0089378224777245,0.0189631936390132,True,사용가능,텔레비전 방송,,,,,,,0,,0.010532726466997584,0.008937822477724514,0.27131260487156855,,0.05316348331014205,0.004391400248879194,0.6443583497309691,27.563138284204076,0,,,-0.10260686389667065,-0.0815062474648183,,-0.03559770728533898,2016.0,215633000.0,8447525617.0,0.0,2017.0,0.0,20708406810.0,0.0,0.0
00130772,(주)SBS,2016,CFS,894153403179.0,353378690823.0,540774712356.0,8447525617.0,,2198363344.0,829073609370.0,-7653963504.0,-510037760.0,-921116467.0,성공,확정,False,215633000.0,1228045000.0,CFS,False,0.0094475126829091,0.0189631936390132,True,사용가능,텔레비전 방송,8351232703.0,792884228900.0,2015.0,,,,0,,0.01018911411668156,0.009447512682909172,,0.14620663939642892,-0.0092319468591168,0.0004597406949841988,0.6534674842383635,27.519143189322534,0,-0.03411232109461845,,-0.09194206602026217,-0.07373290752010561,-0.11172939065105891,-0.048242602070809784,2017.0,0.0,20708406810.0,0.0,2018.0,0.0,21103952137.0,0.0,0.0
00130772,(주)SBS,2017,CFS,1092031606290.0,529039328083.0,562992278207.0,20708406810.0,,2085761291.0,773225039668.0,18665882540.0,15885507426.0,81680256776.0,성공,확정,False,0.0,1371070000.0,CFS,False,0.0189631936390132,0.0189631936390132,True,사용가능,텔레비전 방송,8447525617.0,829073609370.0,2016.0,,,,0,,0.026781862650091595,0.018963193639013297,0.25353013846162054,0.09405084220392236,0.024140297562032623,-0.060249858127757835,0.9396919790229943,27.71906093632142,0,1.5187794893605142,,-0.12842801708520057,-0.07407980847073523,-0.09341186314906084,-0.04092382215056098,2018.0,0.0,21103952137.0,0.0,2019.0,0.0,23860174168.0,0.0,0.0
00130772,(주)SBS,2018,CFS,957646530721.0,389164324106.0,568482206615.0,21103952137.0,,2606903246.0,914043241501.0,5085207350.0,5837906448.0,55145599160.0,성공,확정,False,0.0,1097395000.0,CFS,False,0.0220373086102145,0.0189631936390132,True,사용가능,텔레비전 방송,20708406810.0,773225039668.0,2017.0,8351232703.0,792884228900.0,2015.0,0,0.0,0.023088570845230534,0.022037308610214565,0.3826951281419353,0.05249141773565192,0.005563420983945251,-0.051488405304279505,0.6845672908977403,27.587744580988158,0,-0.16301729264339684,1.3742384032885873,-0.08193403735885152,-0.051209537301019376,-0.18317498039048988,-0.05992530954040693,2019.0,0.0,23860174168.0,0.0,2020.0,5980000000.0,19322407880.0,1.0,1.0
00130772,(주)SBS,2019,CFS,1247762887743.0,600644858646.0,647118029097.0,23860174168.0,,2623520028.0,817664243542.0,12579354049.0,20934114760.0,-61044443944.0,성공,확정,False,0.0,1277130000.0,CFS,False,0.0191223624315026,0.0189631936390132,True,사용가능,텔레비전 방송,21103952137.0,914043241501.0,2018.0,8447525617.0,829073609370.0,2016.0,0,0.0,0.029180894672171637,0.01912236243150265,,0.05680661918512507,0.015384498158447174,0.06570043035362742,0.9281843985774133,27.852373374029003,0,0.2360446669434512,1.838277927227558,-0.04848862052256825,-0.02955917023932992,-0.17233081545689527,-0.03330663409584474,2020.0,5980000000.0,19322407880.0,1.0,2021.0,0.0,20485977060.0,0.0,1.0
00130772,(주)SBS,2020,CFS,1170411148375.0,603439577993.0,566971570382.0,19322407880.0,,2374596080.0,860343114358.0,69052835346.0,-61928327847.0,66506840192.0,성공,확정,False,5980000000.0,1070202000.0,CFS,False,0.0165090770938291,0.0189631936390132,True,사용가능,텔레비전 방송,23860174168.0,817664243542.0,2019.0,20708406810.0,773225039668.0,2017.0,0,0.0,0.022458955685858716,0.016509077093829164,0.2905326403151576,0.04956637372033044,0.08026197245447612,-0.10973508601427756,1.0643206988075777,27.7883762118761,1,-0.2423776910130439,-0.17959774862506678,-0.03373738332474534,-0.020659856914577293,-0.15538679299608305,1.699286064014982e-05,2021.0,0.0,20485977060.0,0.0,2022.0,0.0,54327648183.0,0.0,0.0
00130772,(주)SBS,2021,CFS,1462149708150.0,740552349472.0,721597358678.0,20485977060.0,,2080518339.0,1078975236959.0,184436850625.0,144824284917.0,140125098985.0,성공,확정,False,0.0,474314000.0,CFS,False,0.0140108615046814,0.0189631936390132,True,사용가능,텔레비전 방송,19322407880.0,860343114358.0,2020.0,21103952137.0,914043241501.0,2018.0,0,0.0,0.0189865127189925,0.014010861504681414,0.14619777048073998,0.023829853972468142,0.17093705611337254,0.0032138883630088012,1.026268098914229,28.01092887156906,0,-0.1939033683725907,-0.2097246577344848,-0.03904020368573453,-0.02810717780399568,-0.08107064971444355,0.0873664012490312,2022.0,0.0,54327648183.0,0.0,2023.0,7510742000.0,46232969870.0,1.0,1.0
00130772,(주)SBS,2022,CFS,1407888696660.0,534612151995.0,873276544665.0,54327648183.0,,2031585580.0,1173781580894.0,185603490383.0,156555165794.0,-55802200559.0,성공,확정,False,0.0,1377116000.0,CFS,False,0.0385880278120593,0.0189631936390132,True,사용가능,텔레비전 방송,20485977060.0,1078975236959.0,2021.0,23860174168.0,817664243542.0,2019.0,0,0.0,0.04628429093394177,0.0385880278120593,,0.03681457743898999,0.15812438481240845,0.15083391667024906,0.6121911269242712,27.973112319872115,0,1.5640762056011472,0.8413874668912298,0.0,0.0,-0.07170644002762766,0.1120567984486999,2023.0,7510742000.0,46232969870.0,1.0,2024.0,1953174000.0,52529189498.0,0.0,1.0
00130772,(주)SBS,2023,CFS,1346398451632.0,465277013396.0,881121438236.0,46232969870.0,,2015784608.0,996763613264.0,58323294148.0,47215006482.0,63406889987.0,성공,확정,False,7510742000.0,3329298000.0,CFS,False,0.0343382524051182,0.0189631936390132,True,사용가능,텔레비전 방송,54327648183.0,1173781580894.0,2022.0,19322407880.0,860343114358.0,2020.0,0,0.0,0.04638308346610448,0.034338252405118244,0.7291474140977253,0.06621474816802159,0.05851266375687077,-0.012026071097581442,0.5280509509875073,27.928454329816404,1,0.0018125725043408036,1.2341474312376128,0.0,-0.0008956707722066609,-0.1795552413128606,0.034895053179314184,2024.0,1953174000.0,52529189498.0,0.0,2025.0,6946229000.0,35116031251.0,1.0,1.0
00130772,(주)SBS,2024,CFS,1512366601922.0,605931982154.0,906434619768.0,52529189498.0,,2432126867.0,1046651436608.0,-19185289826.0,33778430764.0,8344628410.0,성공,확정,False,1953174000.0,3873601000.0,CFS,False,0.0347331060017081,0.0189631936390132,True,사용가능,텔레비전 방송,46232969870.0,996763613264.0,2023.0,20485977060.0,1078975236959.0,2021.0,0,0.0,0.050187854008242896,0.03473310600170816,6.294970478859226,0.07844301956919521,-0.018330161460606127,0.01681722032321879,0.6684784196670324,28.044696825885453,0,0.08613482034769773,1.5941113567023801,0.0,-0.002100189943774783,-0.3493684205538074,-0.017278473769175556,2025.0,6946229000.0,35116031251.0,1.0,,,,,1.0
