corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태
00140131,(주)키다리스튜디오,2021,CFS,290122174756.0,67350906744.0,222771268012.0,16330742959.0,158146061930.0,345070630.0,119118155904.0,6921869365.0,3531860296.0,17275838074.0,성공,확정,False,1442423000.0,3099757000.0,CFS,False,0.05628919255391134,0.10773693730504559,True,사용가능
00140131,(주)키다리스튜디오,2022,CFS,378769210908.0,104145178065.0,274624032843.0,18727281484.0,154096905833.0,619521612.0,169433774760.0,4262454699.0,-2539662103.0,9896437499.0,성공,확정,False,5228667000.0,13099365000.0,CFS,False,0.049442459800537235,0.10773693730504559,True,사용가능
00140131,(주)키다리스튜디오,2023,CFS,344327903489.0,135643276889.0,208684626600.0,148597961533.0,,1122280063.0,171042237147.0,-5744856252.0,-35643071568.0,4116664657.0,실패,,,,,CFS,False,0.43155945256625755,0.10773693730504559,True,주석대사실패
00140131,(주)키다리스튜디오,2024,CFS,330388215837.0,130298400385.0,200089815452.0,146525087987.0,,2132373809.0,205213284499.0,2189001069.0,-7219357053.0,13970246094.0,실패,,,,,CFS,False,0.44349368701240083,0.10773693730504559,True,주석대사실패
00140131,(주)키다리스튜디오,2025,CFS,342620727464.0,139168081833.0,203452645631.0,150053232875.0,,4472691882.0,217475159813.0,12382726336.0,6521952860.0,21344755624.0,성공,보통,False,0.0,,CFS,False,0.43795725374135885,0.10773693730504559,True,사용가능
00145437,주식회사 아센디오,2015,CFS,69094618585.0,25321910383.0,43772708202.0,515744999.0,,452858182.0,5677605870.0,-3325079565.0,-9767819991.0,-19305568609.0,성공,보통,False,0.0,37830000.0,,False,0.007464329488490222,0.012293748103931228,True,사용가능
00145437,주식회사 아센디오,2016,OFS,95172252033.0,23569461768.0,71602790265.0,146705949.0,,733516048.0,5787956897.0,-6237983163.0,-9649131813.0,-2106691192.0,성공,확정,False,412500000.0,55580000.0,CFS,True,0.0015414781710653565,0.012293748103931228,True,사용가능
00145437,주식회사 아센디오,2017,CFS,123959637139.0,72537174407.0,51422462732.0,5498123800.0,,397214182.0,35867441449.0,-4326097984.0,-39000491815.0,-1834705768.0,성공,확정,False,15830000.0,36625000.0,OFS,True,0.04435414564689935,0.012293748103931228,True,사용가능
00145437,주식회사 아센디오,2018,CFS,124156576182.0,71917618234.0,52238957948.0,6245518444.0,,7312245481.0,18081554760.0,-13150653809.0,-27086260814.0,-3357320452.0,성공,확정,False,6506445000.0,370498000.0,CFS,False,0.05030356535319362,0.012293748103931228,True,사용가능
00145437,주식회사 아센디오,2019,CFS,56809693044.0,66303525466.0,-9493832422.0,489805763.0,,99940732.0,31358063663.0,-10832068853.0,-64545339905.0,-8791239557.0,성공,확정,False,5488703000.0,338456000.0,CFS,False,0.008621869557025026,0.012293748103931228,True,사용가능
00145437,주식회사 아센디오,2020,CFS,27365808144.0,7425770210.0,19940037934.0,1173348497.0,,292626626.0,21613135030.0,-4062292410.0,-5908709387.0,-6476194645.0,성공,확정,False,0.0,228208000.0,CFS,False,0.04287644241404428,0.012293748103931228,True,사용가능
00145437,주식회사 아센디오,2021,CFS,68072817657.0,22883799888.0,45189017769.0,836870073.0,,344255644.0,21574441958.0,-3557150999.0,-6577827246.0,-8689749124.0,실패,,,,,CFS,False,0.012293748103931228,0.012293748103931228,True,주석대사실패
00145437,주식회사 아센디오,2022,CFS,73158525417.0,40888846326.0,32269679091.0,629179950.0,,18796082574.0,18582454837.0,-8969913874.0,-16916858189.0,-23269147602.0,실패,,,,,CFS,False,0.008600227333912285,0.012293748103931228,True,주석대사실패
00145437,주식회사 아센디오,2023,CFS,48534629654.0,22163675992.0,26370953662.0,465688631.0,,0.0,6883461279.0,-10352386041.0,-25921087032.0,-10679620576.0,실패,,,,,CFS,False,0.009594976500693667,0.012293748103931228,True,주석대사실패
00145437,주식회사 아센디오,2024,CFS,23296368270.0,4021425355.0,19274942915.0,542567113.0,,0.0,13465653938.0,-4121526339.0,-7849399002.0,-4962463592.0,실패,,,,,CFS,False,0.023289772324671446,0.012293748103931228,True,주석대사실패
00145437,주식회사 아센디오,2025,CFS,10908493362.0,3664320789.0,7244172573.0,179961105.0,,566145742.0,5921928326.0,-4324824897.0,-13803059662.0,-4707571756.0,실패,,,,,CFS,False,0.016497338269178295,0.012293748103931228,True,주석대사실패
00146427,한주에이알티(주),2015,OFS,37521970606.0,12835956299.0,24686014307.0,938787500.0,545133702.0,930204758.0,65600443196.0,3662034851.0,2843897148.0,3009289031.0,성공,확정,False,345930000.0,11250000.0,,False,0.025019674735576973,0.11402515140681853,True,사용가능
