기업,사업연도,접수번호,표발견,손상분리,상각손상합산,콘텐츠구분,비고
하이브,2021,20220322000653,8,X,X,X,
하이브,2022,20230403004275,4,O,X,X,
하이브,2023,20240322001002,4,X,X,X,
